sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R4-240-1n,Local Traffic Area (30),R4-240-1n - Local Traffic Area (30),No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 22,AS1742.4 (Speed Controls),AS1742.13 LATM & NSW Speed Zoning Guideline,-,Local Traffic Area (30) sign design plan Published 15 Jun 2023 PDF 113.92 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-240-1n.gif?itok=un_6HsP7,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-240-1n.pdf,Original PDFs/r4-240-1n.pdf,r4-240-1n-local-traffic-area-30
R4-240n,Local Traffic Area (40),R4-240n - Local Traffic Area (40),No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 22,AS1742.4 Speed Controls,AS1742.13 LATM NSW Speed Zoning Guidelines,-,Local Traffic Area (40) sign design plan Published 15 Jun 2023 PDF 113.79 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-240n.gif?itok=w2tnRL4d,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-240n.pdf,Original PDFs/r4-240n.pdf,r4-240n-local-traffic-area-40
R4-241n,End Local Traffic Area,R4-241n - End Local Traffic Area,No,No – restricted. Any use requires written authorisation from Transport for NSW.,NSW Road Rules 22,AS 1742.4 (Speed Controls),NSW Speed Zoning Guidelines. Secondary Technical References AS 1742.13 (LATM) The Intent of Cl 3.3 & 4.2.11,-,End Local Traffic Area sign design plan Published 15 Jun 2023 PDF 121.13 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-241n.gif?itok=Dyb65L9Q,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r4-241n.pdf,Original PDFs/r4-241n.pdf,r4-241n-end-local-traffic-area
G9-333-2n,One Vehicle Only Per Lane On Green Signal,G9-333-2n - One Vehicle Only Per Lane On Green Signal (Tunnel Use Only),No,Specific circumstances only. Contact Transport for NSW.,NA,-,,Sign to be used in Tunnels Only where a standard sign is not suitable,One Vehicle Only Per Lane On Green Signal - g9-333-2n sign design plan Published 15 Jun 2023 PDF 36.44 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-333-2n.gif?itok=gQvXEnCB,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-333-2n.pdf,Original PDFs/g9-333-2n.pdf,g9-333-2n-one-vehicle-only-per-lane-on-green-signal
G9-263n,Heavy Vehicle Inspection Bay (left angled arrow),G9-263n - Heavy Vehicle Inspection Bay (left angled arrow),No,Specific circumstances only. Contact Transport for NSW.,NA,Project Specific,,-,Heavy Vehicle Inspection Bay (left angled arrow) sign design plan Published 15 Jun 2023 PDF 82.56 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-263n.gif?itok=sI4muqzo,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-263n.pdf,Original PDFs/g9-263n.pdf,g9-263n-heavy-vehicle-inspection-bay-left-angled-arrow
G9-31n,Tick Quarantine Gate Ahead Please Drive Slowly,G9-31n - Tick Quarantine Gate Ahead Please Drive Slowly,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Tick Quarantine Gate Ahead Please Drive Slowly sign design plan Published 15 Jun 2023 PDF 66.67 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-31n.gif?itok=5k1oBpW3,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-31n.pdf,Original PDFs/g9-31n.pdf,g9-31n-tick-quarantine-gate-ahead-please-drive-slowly
G9-260-2n,Heavy Vehicle Inspection Bay (1km On Left),G9-260-2n - Heavy Vehicle Inspection Bay (1km On Left),No,Specific circumstances only. Contact Transport for NSW.,NA,Project Specific,,-,Heavy Vehicle Inspection Bay (1km On Left) sign design plan Published 15 Jun 2023 PDF 90.29 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-260-2n.gif?itok=A2jbnx9G,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-260-2n.pdf,Original PDFs/g9-260-2n.pdf,g9-260-2n-heavy-vehicle-inspection-bay-1km-on-left
G9-333-1n,One Vehicle Only Per Lane On Green Signal,G9-333-1n - One Vehicle Only Per Lane On Green Signal,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,One Vehicle Only Per Lane On Green Signal - g9-333-1n sign design plan Published 15 Jun 2023 PDF 76.84 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-333-1n.gif?itok=qiuVfuHh,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-333-1n.pdf,Original PDFs/g9-333-1n.pdf,g9-333-1n-one-vehicle-only-per-lane-on-green-signal
G9-343n,Trucks & Buses Divert To Safety Station,G9-343n - Trucks & Buses Divert To Safety Station,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,For use at Heavy Vehicle Checking Stations ONLY,Trucks & Buses Divert To Safety Station sign design plan Published 15 Jun 2023 PDF 73.27 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-343n.gif?itok=056KkYN4,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-343n.pdf,Original PDFs/g9-343n.pdf,g9-343n-trucks-buses-divert-to-safety-station
G9-30n,Tick Gate Stop For Examination,G9-30n - Tick Gate Stop For Examination,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Tick Gate Stop For Examination sign design plan Published 15 Jun 2023 PDF 68.74 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-30n.gif?itok=lB4AZPmv,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-30n.pdf,Original PDFs/g9-30n.pdf,g9-30n-tick-gate-stop-for-examination
G9-29n,Fruit Inspection Station,G9-29n - Fruit Inspection Station,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Fruit Inspection Station sign design plan Published 15 Jun 2023 PDF 67.9 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-29n.gif?itok=ksb9NcKM,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-29n.pdf,Original PDFs/g9-29n.pdf,g9-29n-fruit-inspection-station
G9-400n,Vineyards Phylloxera Free (Prohibited Unless Authorised) Vineyard Machinery/ Grapes/ Soil & Grapevines Ph1800084881,G9-400n - Vineyards Phylloxera Free (Prohibited Unless Authorised) Vineyard Machinery/ Grapes/ Soil & Grapevines Ph1800084881,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Vineyards Phylloxera Free (Prohibited Unless Authorised) Vineyard Machinery/ Grapes/ Soil & Grapevines Ph1800084881 sign design plan Published 15 Jun 2023 PDF 138.22 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-400n.gif?itok=ji-P1x5B,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-400n.pdf,Original PDFs/g9-400n.pdf,g9-400n-vineyards-phylloxera-free-prohibited-unless
G9-399n,Mobile Phone Detection Cameras Used In NSW Thank You For Driving Safely,G9-399n - Mobile Phone Detection Cameras Used In NSW Thank You For Driving Safely,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Mobile Phone Detection Cameras Used In NSW Thank You For Driving Safely sign design plan Published 15 Jun 2023 PDF 277.88 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-399n.gif?itok=G62WZtDS,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-399n.pdf,Original PDFs/g9-399n.pdf,g9-399n-mobile-phone-detection-cameras-used-nsw-thank
G9-398n,Mobile Speed Cameras Used In This Area Thank You For Driving Safely,G9-398n - Mobile Speed Cameras Used In This Area Thank You For Driving Safely,No,Specific circumstances only. Contact Transport for NSW.,NA,-,,-,Mobile Speed Cameras Used In This Area Thank You For Driving Safely sign design plan Published 15 Jun 2023 PDF 607.03 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-398n.gif?itok=EHROzjAU,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-398n.pdf,Original PDFs/g9-398n.pdf,g9-398n-mobile-speed-cameras-used-area-thank-you-for
R2-19-1n,Left Lane Must Exit,R2-19-1n - Left Lane Must Exit (Tunnel Use Only),No,Specific circumstances only. Contact Transport for NSW.,NA,-,,Sign to be used in Tunnels Only where standard sign are not suitable,Merge Right - g9-73-1n_l sign design plan Published 15 Jun 2023 PDF 27.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-73-1n_l.gif?itok=L4qyvNFb,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-73-1n_l.pdf,Original PDFs/g9-73-1n_l.pdf,r2-19-1n-left-lane-must-exit-tunnel-use-only
g9-73-1n_l,Merge Right,G9-73-1n(L) - Merge Right (Tunnel Use Only),Yes,Specific circumstances only. Contact Transport for NSW.,NA,-,,Sign to be used in Tunnels Only where standard sign are not suitable,Merge Right - g9-73-1n_l sign design plan Published 15 Jun 2023 PDF 27.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-73-1n_l.gif?itok=L4qyvNFb,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-73-1n_l.pdf,Original PDFs/g9-73-1n_l.pdf,g9-73-1nl-merge-right-tunnel-use-only
G9-73-1n(R),Merge Right,G9-73-1n(R) - Merge Right (Tunnel Use Only),Yes,Specific circumstances only. Contact Transport for NSW.,NA,-,,Sign to be used in Tunnels Only where standard sign is not suitable,Merge Right - g9-73-1n_r sign design plan Published 15 Jun 2023 PDF 27.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-73-1n_r.gif?itok=anLCWcmi,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-73-1n_r.pdf,Original PDFs/g9-73-1n_r.pdf,g9-73-1nr-merge-right-tunnel-use-only
G9-380n,Speed Limits Enforced,G9-380n - Speed Limits Enforced,No,Specific circumstances only. Contact Transport for NSW.,-,-,,-,Speed Limits Enforced - g9-380 sign design plan Published 15 Jun 2023 PDF 125.24 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-380.gif?itok=u7I3PnPK,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-380.pdf,Original PDFs/g9-380.pdf,g9-380n-speed-limits-enforced
G9-364-1,Unauthorised Use Of T-Way Prohibited Demerit Points And Fines Apply (camera symbol) Cameras Monitor T-Way Traffic,Unauthorised Use Of T-Way Prohibited Demerit Points And Fines Apply (camera symbol) Cameras Monitor T-Way Traffic,Yes,Specific circumstances only. Contact Transport for NSW.,NA,Project specific,,For further information email: Technical.Directions.Publication@rms.nsw.gov.au,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-364-1.gif?itok=0YOX31ej,,,unauthorised-use-of-t-way-prohibited-demerit-points
GE1-11,Advance Exit Diagrammatic First in series (2km illustrated) (Example Only),GE1-11 - Advance Exit Diagrammatic First in series (2km illustrated) (Example Only),Yes,Yes – available.,NA,AS 1742.15 (Direction Signs),,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge1-11.gif?itok=eYmjEsog,,,ge1-11-advance-exit-diagrammatic-first-series-2km
GE1-12,Advance Exit Diagrammatic 2nd in series (1km illustrated) (Example Only),GE1-12 - Advance Exit Diagrammatic 2nd in series (1km illustrated) (Example Only),Yes,Yes – available.,NA,AS1742.15 (Direction Signs),,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge1-12.gif?itok=qzrtq-_b,,,ge1-12-advance-exit-diagrammatic-2nd-series-1km
G9-260-1n,Heavy Vehicle Inspection Bay (500m On Left),G9-260-1n - Heavy Vehicle Inspection Bay (500m On Left),No,Specific circumstances only. Contact Transport for NSW.,NA,Project Specific,,-,Heavy Vehicle Inspection Bay (500m On Left) sign design plan Published 15 Jun 2023 PDF 90.52 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g9-260-1n.gif?itok=YjPEC2zt,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g9-260-1n.pdf,Original PDFs/g9-260-1n.pdf,g9-260-1n-heavy-vehicle-inspection-bay-500m-on-left
GE1-13,Advance Exit LEFT LANE (Example only),GE1-13 - Advance Exit LEFT LANE (Example only),Yes,Yes – available.,NA,AS1742.15 (Direction Signs),,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/ge1-13.gif?itok=IhyRUyRc,,,ge1-13-advance-exit-left-lane-example-only
G6-315n,Start Variable Speed Limit Zone,G6-315n - Start Variable Speed Limit Zone,Yes,Specific circumstances only. Contact Transport for NSW.,NA,Project Specific,,-,Start Variable Speed Limit Zone sign design plan Published 15 Jun 2023 PDF 82.83 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g6-315n.gif?itok=Ju569F-_,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g6-315n.pdf,Original PDFs/g6-315n.pdf,g6-315n-start-variable-speed-limit-zone
G6-316n,End Variable Speed Limit Zone,G6-316n - End Variable Speed Limit Zone,Yes,Specific circumstances only. Contact Transport for NSW.,NA,Project Specific,,-,End Variable Speed Limit Zone sign design plan Published 15 Jun 2023 PDF 82.83 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/g6-316n.gif?itok=RjsL4Dni,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/g6-316n.pdf,Original PDFs/g6-316n.pdf,g6-316n-end-variable-speed-limit-zone
